0.000000    0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000     0.000000
0.111111    0.342020 0.338307 0.334635 0.331002 0.327409 0.323855 0.320340 0.316862 0.313423 0.310020     0.309876
0.222222    0.642788 0.635810 0.628908 0.622081 0.615328 0.608649 0.602041 0.595506 0.589042 0.582647     0.582377
0.333333    0.866025 0.856624 0.847325 0.838127 0.829029 0.820030 0.811128 0.802323 0.793614 0.784999     0.784635
0.444444    0.984808 0.974117 0.963543 0.953083 0.942737 0.932504 0.922381 0.912368 0.902464 0.892668     0.892254
0.555556    0.984808 0.974117 0.963543 0.953083 0.942737 0.932504 0.922381 0.912368 0.902464 0.892668     0.892254
0.666667    0.866025 0.856624 0.847325 0.838127 0.829029 0.820030 0.811128 0.802323 0.793614 0.784999     0.784635
0.777778    0.642788 0.635810 0.628908 0.622081 0.615328 0.608649 0.602041 0.595506 0.589042 0.582647     0.582377
0.888889    0.342020 0.338307 0.334635 0.331002 0.327409 0.323855 0.320340 0.316862 0.313423 0.310020     0.309876
1.000000    0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000 0.000000     0.000000
